summary,comment
negative,"disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport  now I'm losing 2 days from trip"
negative,"been on hold for over an hour.....not cool, you guys."
negative,I've been on hold for an hour  a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!
neutral,trying to fly out of Nashville tomorrow. How is it looking?
neutral,do you think the flights out of Nashville will be Cancelled Flighted tomorrow?
negative,"too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" FUSTURATED"
negative,I need updates on my flights 464  3574. I have been on hold for over 2 hours.
neutral,Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
neutral,Southwest mobile boarding passes now available in iOS Passbook!
negative,Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 
positive,thanks do yall expect to be operational tomorrow out of Nashville?
negative,why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH
negative,allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it  my 6yo was scared
neutral,"Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)"
neutral,Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(
negative,won't answer their phones HorribleService NeverAgain frustrated AnswerThePhone
negative,We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.
neutral,"flight 1041 to Savannah, GA"
neutral,"update on Flight 462 would be appreciated when you have time, thanks"
negative,"Hey guys, why did my last flight earn me 0 pts?"
negative,2 aisles of empty evermoreroom seats and we can't move bc we didn't pay?! nonsense Waste bos cheap
negative,s Marty St. George really has zero clue. How does he still have a job?
negative,they booked me for tomorrow. It's $250 higher. My 1st reservation is PGFRYZ. Get me on standby list 4 tonight would help.
negative,but by Cancelled Flighting my flight and pushing me to the next day I'd lose $150 hotel which was why I was trying to get a same-day flight.
positive,thank you for the information.
neutral,did you know that suicide is the second leading cause of death among teens 10-24
neutral,Ok and in Dominican Republic what numbers?
negative,ive tried on my phone and laptop :(
negative,Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called  got same flight but now $250 more
neutral,sale please soon?? I need a tan
neutral,Yeah I have! I'm on it!! Looking for specific dates - I will just keep checking daily for a fare drop
neutral,"Hello Good afternoon how are you, I need know how much flying for summer from june 13th."
negative,"upset with the lack of communication we've received for our ""on time"" flight 1170 out of MCO"
neutral,Not for the dates or destination I'm headed 
negative,"I've spent three hours talking to all different people, most of which couldn't help. I probably won't be using again."
positive,thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. 
positive,flight 117. proud to fly Jet Blue!
negative,I had to call back five times to get someone on the phone who knew what they were doing. By that time my getaway went up by $200.
neutral,flight 462 to Boston delayed due to weather in Tampa?
negative,I appreciate the credit for my troubles but the lack of personal response troubles me.
negative,Thank you for credits. However; I submitted complaints about the property on vacation package. Hope you listen!
positive,it will be glowing. Your crew and your aircraft sparkled. You guys know about nokidhungry right? Might be a good partnership:)
neutral,"Cheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?"
neutral,will you Cancelled Flight tonight's 7 pm out of DFW to BOS? weather
positive,Haha. Thanks. You guys are great. Unlike the nyjets. ;-) GoPatriots!
positive,it was booked through work but added upgrade on seat. Need the upgrade receipt.
neutral,How can I best track deals and special flight offers? I'm liking your international options...
positive,2324 from Orlando to Dca ! And my awesome flight attendant is Robert!
negative,"Yes, I filed yesterday around noon. I have a claim number but they haven't contacted me yet."
positive,"flight from JFK-SFO was pure awesomeness. Mint Class and Tim our attendant was the best! Other airlines, take notes!"
negative,flight was two days ago. Flight 1918 from POS.
positive,last sleep in Cali... back to JFK tomorrow night.  Looking forward to an another amazing flight with you all :)
negative,"Woo! Update! Flight 915 is now possibly delayed by more than 2hrs!  Power of positive thinking, people."
negative,"appreciate the response but already spoke to a MCO and their response was ""There is nothing we can do"" idk if that's what you mean"
positive,with the free wifi impressive
negative,"Didn't find out my flight for NY, scheduled to leave at 9:30pm, is delayed by more than 1.5hrs until AFTER checking in. Huge fail."
positive,EllaHenderson omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at LFT5
negative,my request has nothing to do with rescheduling. But customer service has such a bad attitude today. badservice
neutral,Can't view seat selection/change seat for flight tomorrow. Can you look into this?
positive,to offer service from Business Review
negative,please provide me your direct email for me to explain.
neutral,I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?
negative,A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.
negative,sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer
positive,No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.
positive,Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)
negative,is REALLY getting on my nerves !! 
negative,and when will one of these agents be available to speak?
negative,you're killing me from the inside
negative,is not the new is more like the new SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.
neutral,shout out to Cathy at the Vegas airport check-in for hooking us up!
negative,thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation 1lesscustomer
positive,Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch  a beverage. Easy cheesy
negative,I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised.
negative,Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow.
negative,thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 
negative,I have two tight connections in Charlotte and Frankfurt
negative,"Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!"
negative,"ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! donotflyusair"
neutral,"I forgot my password and I don't know if my username is correct, and i want to use my miles, what i have to do??"
neutral,"question, friend flight got Cancelled Flightled. How can he book be flight? Leaving CHS to Philly to Germany"
neutral,"If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?"
negative,been standing at the gate for 45 min trying to go standby bc I will miss my connection. No help! Do NOT fly !
negative,"after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough."
neutral,How do I get a receipt for a change fee when I originally booked with miles?
negative,"u didn't bother following up, we booked with Delta.  Delta understands cust srv: provided lunch 4 delays  upgraded seats!"
neutral,we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.
neutral,any travel advisory coming for the Carolinas?  Bad weather!
negative,"Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you."
positive,great job today from your team with a challenging weather delay on flight 1925 out of Charlotte. travel friendlyteam
negative,.It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.
neutral,2 calls  wasted 3 hrs on hold to change my coming divided awards weather reLate Flightd flight. Y'all disconnected me 2x. Please help.
negative,"not going as planned is an understatement. My flight was just changed AGAIN. If it weren't for a family emergency, I'd Cancelled Flight."
neutral,Hi! On my dividend miles account I accidentally listed my newly married name as opposed to my legal name. I am trying to book
neutral,how much is it to check golf clubs on a flight. They might be oversized
neutral,Is it possible to Cancelled Flight my reservation online?
neutral,"Thank you, although we're using our miles from our card and Flight Booking Problems companion tickets which can only be booked over the phone."
negative,still on hold...1 hr 27 mins....thank god for chairman status. status match Delta?
neutral,"Is there a phone line to call into that isn't being affected by ""bad weather""? Trying to book a vacation, here... "
neutral,I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 
negative,seriously???  did you not see that I've spent 2 days - for multiple hours on hold just to have to hang up after the hours?
positive,"Waiting on my flight right now, thanks!!"
neutral,How do I add my TSA Pre number to an existing reservation?
neutral,can i please have someone call me 781 879 4505
positive,We're back at a gate. Opposite of wheels up. Im sure we'll get thete eventually. So thanks.
negative,USAirways. R U aware your wait time to talk to a sales agent is always 30-60 minutes? Unacceptable. At least employ a call back feature!
neutral,1 flight Cancelled Flightled yesterday and now a delay today has robbed my daughter of 2 days with her grandparents. Thanks
negative,1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.
negative,can you DM please in regards to update on lost bag please.
positive,knows customer service!! Thank you for starting our 2 week vacay on an amazing note! Thank you sarita!!!
neutral,flight 1946 out of clt this morning.  It's snowing here.  Should i head out to the airport?
positive,"great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job."
neutral,The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight
negative,"yes, but we were answered and put back on hold while they were to check on our request..  50 mins Late Flightr nothing!"
negative,  Not good. On hold for over an hour
neutral,Expedia reserved a ticket for me and 2 more for a USAW flight but only issued 1. They are not responsive.Thoughts?
positive,"no worries, your flight attendant took care of it."
positive,Can you bring guinea pigs in small pet carrier onboard your flights?
negative,NoService good luck trying to reach a human!  Twice sat on hold for over 50 mins...  neveragain
positive,good work by flight 1798 crew.  Chairman's recognition even in coach.  Too many missedupgrades Late Flightly.  What's up with this?
neutral,what's going on with  flight 805?   Why diverted to Charlotte?
positive,Thanks! Sent you DM re: baggage issues.
negative,please stop asking me each week to place my bag in the size check
negative,need to check candy w working flight 449 iah to phx on she is the reason I always choose Delta rude
neutral,explain how come I can get a free upgrade on US as an exe plat but not exit row seating w/out paying. confused
negative,"Yes, ground crew finally showed up so plane could depart very Late Flight."
positive,customer service at its best! Rachel S.  took great care of us at the airport.
neutral,I am good. I just did not understand the terminology.  but the merger brings new verbiage
negative,why are your customer service department so intent on ignoring my emails and queries? badservice usairways
neutral,can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.
negative,your airway is a joke. I have never dealt with worse service
positive,THANK YOU for resolving the issue. On direct flight to sfo from united
negative,would help if you flew bigger planes into TLH. All my team mates made it to the training but me.
positive,ok thanks
neutral,direct flights to SFO leaving from same airport with and - can you please put me on one of those?
positive,I'll check it out when I get to the airport. Thanks.
negative,ticket counter people here are not helping and just want to charge more money even after this horrible day.
positive,"thanks for the reply. On a good note, the pilot nailed the landing. Seriously. Kudos."
negative,I have to fly back to Charlotte out of a different airport. You guys are not very flexible like other airlines.
negative,"I checked in ""Standby for 1st Class"" only to find I am ""not on the list"". This merger is a pain."
positive,4 great flights with no delays! Thank you!
negative,been on hold for 45 minutes. Is there a better time to call? This is getting ridiculous
negative,Your exchange/credit policies are worthless and shadier than the White House. Dissatisfied to the nines right now.
negative,honest question - how is a 1-way ticket from Charlotte (your hub) to LAX (2nd biggest city in USA) almost $600?????
neutral, how does one downgrade a flight?
neutral,I'm shutting my data off for the flight. I want some response by the time I land.  You have 2 hours.
neutral,and I would have been willing to give him the benefit of the doubt and say we misunderstood each other until he went on a
positive,look out for flying rocks this time! It's a bird it's a plane! Nah never mind it's just a rock...
neutral,doesn't take into account the $450 it cost 2 rent a car 2 drive home
neutral,"Am I allowed to carry on a suit bag and carry on bag? My suit bag will hang like a jacket would. It is soft sided, 48"""
positive,owes Tammy from the Winston-Salem call center for keeping me as a customer!
negative,the jetway because he felt I was disrespectful. I have never been treated this way particularly when I was trying to be a good c
negative,with such disrespect I cannot even begin to explain. He has an issue with women and he literally yelled at me and pulled me off
negative,what happens if it isn't located
negative,I want to speak with someone immediately. I am shaking with rage. I offered to hate check my bag and Derrick bussey treated me
neutral,so it's a $25.00 bag fee for a golf bag on a domestic flight?
negative,Thanks but when I asked for a change with no cost for you the only desition was nade by computer. Now is Late Flight
negative,please fix your reservations phone system.  The weather/backup could not possibly be bad for 10 days!  goodgriefpeople
positive,I made it! Thanks for the help!
neutral,"is there an additional charge for a golf bag with clubs , shoes, and golf balls, if that's the only piece of luggage you check?"
negative,1-2! Rock hit the plane! In a delay now! Never an easy day with ! Ya never fail to let me down!
negative,just an FYI I'll be writing registered letters 2 your ceo and those down the line 4 the shameful treatment and reactions we got.
negative,you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.
neutral,"if I apply for ur credit card, do you automatically get the companion certificate or do I have to wait for it?"
positive,shout out to Diane at EYW for helping get us home today instead of tomorrow (even if a little Late Flight!)
positive,"thanks, I hope so. Maybe you can put in a good word for me? ;-)"
neutral,"US 728. Refuel; we've sat for so long. Pilot announces where the truck is. ""Look, over there to the left!"" Actual announcement."
negative,thanks but the bags are only 10% of what went wrong. 22 hours from DCA to SAN when there were no weather issues is not acceptable
neutral,trying to chg ticket for staff member leaving org before she can fly.We're a nonprofit-can't you make an exception?
negative,How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800  are telling me 2 different things! Got hung up on 2x
negative,One water run of the planet's smallest water bottles. Applaud you looking out for the environment.
negative,"US 728. Nope, not getting off. 3 hours in the plane. 4 pilot announcements. One water run of the planet's smallest water bottles."
neutral,"Wait, now a gate opened. Back we go. (Good, maybe we can get off.)"
neutral,stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.
neutral,trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?
neutral,Hi guys! Are flights 5594 and 3937 still on time? The site and app are both down and I can't check. Thanks!
negative,hey since you    f*%ed my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare}
neutral,"Yes, I made the flight and got my workout in too."
negative,Decided to be a good sport and give you guys another shot. Flight delayed. Again.
negative,on hold for 8 hours yesterday w/o speaking to an agent on hold again w/ 2 phones ~30 mins let the bashing begin...
neutral,will all flights out of DFW be Cancelled Flightled today?
neutral," I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!"
neutral,"Do your flight schedules to - from Quintana Roo, Mexico reflect their newly adopted time zone change to EST?"
negative,sure knows how to pamper customers they strand abroad. badcustomerservice fend4yourself youareonyourown
neutral,thank you for the apology
negative,Can you help me with a refund.  the phone guy couldn't help.  The website won't let me submit a reply.
negative,We take Late Flight to a whole new level!
negative,flight 435 is delayed so will miss connecting flight 457 can you please help with alternate? Thank you.
negative,three hour wait and counting waiting for reservations on the phone. Are you serious!?
positive,on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.
neutral,any progress? Good luck
positive,"landonschott he's fine, he really likes picking his own seat...."
positive,Thank you. I'll do that next time!
positive,looks like our bag has been rescued. Thanks!
neutral,and aren't as merged as the marketing departments would have us believe. Maybe Delta or can get me home?
negative,"absolutely worst experience of my life at PHL. 6 hrs, 1 failed departure, 3 gates, and ZERO communication or help!!"
negative,"as soon as I call customer service to speak to a representative, I am disconnected"
negative,give us no information and an attitude.
neutral,Looking for some help to recover an item I left on an airplane this evening
neutral,Have you issued a Memphis travel advisory for tomorrow? Winter weather coming through now.
positive,Since I am a loyal USAir customer I am sure that they will make this up to me-right now I want to get home  back to work.
positive,"Janet my DEN-PHL  flight Cancelled Flightled Saturday, USAIR rescheduled automatically notified us by email at no additional cost."
neutral,"Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great."
neutral,Flight 4424 operated by arrives at FlyTPA following flight from 
positive,the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. 
negative,Can someone please answer my call. I have been waaaaaaiting!!!
negative,is holding my luggage hostage from flight 5182
positive,thanks to the whole team for an on-time flight despite inclement weather
negative,"your rude staff said"" I don't care that we are out of market place food you're going on vacation and I have to work"" nice huh"
neutral,what happens to frequent flyer miles earned once merger is complete with AA?
neutral,any idea when flight 703 to Miami will leave for a second time?
negative,so does that mean that you might care about my sister be assaulted on one of your flights
negative,on top of that a dozen ppl missed connections and you have ONE person at customer service? Abysmal!
positive,it's not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!
negative,how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them
negative,"your service at PHL is abysmal. An hour on the runway waiting for a gate, no information anywhere, missed my connection abysmal!"
negative,worst customer service ever how can you let people be assaulted on your flights and do nothing about it
negative,Not providing pilots for your flights: is this a new feature of your merger? efficencies
neutral,do you know what flight the pilots for 1581 are coming in on? Thanks.
neutral,Can you provide me with info about checking strollers and car seats?  Costs?  Restrictions?  Need to bring 2 seats 1 stroller.
negative,delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed
positive,Another great flight FunFlightAttendants. Thanks for showing my dad wonderful customer service. flt635 LAX PHX SundayFunday
positive,"Thank you for a couple of easy, hassle free flights today, professional and friendly staff made everything easy!"
negative,hire smarter IT people if your systems keep crashing instead of some of the mooks you man some of these airports with. goDelta
negative,what is wrong with you guys and your inability to get planes in and out of Philly on time. Our pilot gave us a answer that was bs
negative,you guys have to be the worst. We are flying into Philadelphia and have only two jetways available for an on time plane.pisspoor
neutral,I have received two reservation check-ins for two different flights for my one flight tomorrow morning. Need assistance ASAP
negative,where's our luggage? Been waiting more than an hour! Flight 2118.
neutral,Cancelled Flightled the last part of a ticket and am confused from the email I received whether value remains. Is there someone I can ask?
neutral,please have your people hold flight 599 from Phoenix to San Jose.  We pulling up to the gate! Scheduled to depart at 5:40
neutral,"sorry, we are in Philly. Should've told you that."
negative,pilot for flight 729 didn't show until after departure 
neutral,pilot says that we are going to take off in 10 minutes. So maybe the systems came back online?
negative,nervous for flight tomrw out of key west not friendly customer service
positive,Thank you for your help today.  I have been a loyal  customer and i appreciate your responding to my tweets.
neutral,message me if you want to issue a refund so someone else can use my seats tomorrow AM flightCancelled Flighted custservicehasnonumber
positive,an already pleasant flight from London to Charlotte (US733) was made fantastic by an amazing attendant. Thank you so much Robert!
negative,won't even refund for a flight they Cancelled Flightled horriblecustomerservice
negative,"call dropped  no call back...another 45min-hour for another rep. The worst CS ever, online, by phone  in person."
neutral,Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?
neutral,"If I am traveling with an infant in my lap, is there anything I need to do to notify you?"
negative,9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies.
positive,"woohoo! He still has 1 more flight but so happy to hear they're in the air, just about cried! (Must be the preggo hormones!) thx!"
negative,"I was told a ""return call"" by a human"
negative,"guys I need help my reservations, tried calling and I'm told to call Late Flightr. Please help me here."
positive,sitting on a plane in Philadelphia for over 20 minutes waiting just to get off the plane. Great service!
negative,"comin in clutch and sending me to Charlotte then home, I h8 u , except for Wayne u a real g ThankJesus ThankMe"
neutral,this very pregnant lady's hoping praying hubbys flight from BWI gets off the ground! I'd like him to get here before baby does!
negative,"Every time I try, the line is disconnected b/c the system says you have too many calls. Glad your screw up matters so much to you"
positive,big thank you to your ticketing agent Ute V at Dulles-Washington for OUTSTANDING guest service to get me rebooked
negative,you guys straight up suck ass
negative,"still Effin waiting... Not weather delays, not engine trouble, but lack of crew?  Are you shitting me?"
negative,my miles will expire on 2/29 and it could take someone 10 days to respond...I have over 150000 miles that I do not lose i
negative,what am I paying you $275 for?   Fly the damn plane!  Not one announcement from the crew.  Let me know how you wanna refund me.
neutral,"can't control weather/flight attendant.Can control this-green ACU bag, 1.5 hrs  counting! Yep that's me!"
positive,Can't wait for the trip. Thanks for getting me there!
positive,your team member at DCA- Tamara R. is her name was awesome. You should have more employees like her!
positive,thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel. customerservice
negative,"had baggage lost last night, no call from  and no bags and nobody answering phone badcustomersrvice whereismybag"
negative,"if my flight's been Cancelled Flightled, and I can't reach anyone over the phone or ticketing agents, safe to assume I wasn't rebooked?"
negative,WHERE IS MY BAG ?SOS ITIS BEING LOST FOR MORE THAN 24 HOURS ! POORCUSTUMERSERVICE
neutral,How does flight 680 look? I'm hearing about Cancelled Flightled departures from Reagan_Airport and I'm about to head into it
negative,SOS WHERE IS MY BAG ?
neutral,what is contact info to upgrade using advantage miles?
neutral,shivadelrahim what about upgrades?
negative,what is with all the Cancelled Flightlations to PBI? We have pax at DCA that have been sent to 4 different lines between AAL and AWE. Help!
negative,so I still need to stay on hold?
neutral,how do you have only 1 flight into lexington this afternoon with the 1 KentuckyMBB playing a big game tonight?  DoBetter
negative,"Hey based on the number of retweets and likes on my FB post, it's nice to know I'm not alone in my frustrations with you guys!"
negative,seems to be the only airline without a dedicated line for status members
neutral,Flight 1815 (N747UW) arrives at FlyTPA following flight
negative,I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee
negative,"Umm, can you define 'extra time'?"
negative,"Oh yes, because I had loads of time running to my connecting flight after you delayed me for about 90 minutes..."
negative,"Hey, my bag was damaged flying with you yesterday. What can I do?"
neutral,"landed at Phoenix, but we had to board a flight quickly to Vegas so no time at the airport. What now?"
neutral,I left something on a recent flight today. Who do I contact to retrieve it please? Thanks!
positive,Just spoke with a representative. Moved my flight earlier. Thank you so much for the follow up.
positive,hey guys just want to say I had the best flight ever! Thank you so much. I fell asleep and actually had a wet dream.
negative,so you're not honoring miles with that were traveled last year?
neutral,"you need to check information regarding hotels, shuttles, re routing flights, delayed flights"
neutral,"ah, and I was only given one shuttle voucher, so if I do ever get back to the airport you'll be getting the bill"
negative,wonder if this misery is considered a damage in a breach of contract lawsuit lawyerup
negative,"but wait! They are booked, along with all other hotels nearby. I was sent anyway, to the hotel managers disbelief."
positive,"but don't worry! They found a hotel, it's only 45min away. I got there around 11:30pm, no problem."
negative,at which point in told they have sold my voucher because I wasn't fast enough
neutral,No worries I was able to read stephenrodrick entire book while holding. TheMagicalStranger
negative,trying to change flight because of airline travel advisory. on hold for 45 mins. Help!
neutral,Can you help me add a AAdvantage number and known traveler number to a reservation?
negative,would be less annoying if road conditions weren't getting worse with every min U keep passengers captive for no good reason.
positive,experience exceptional service from Cherry at DenverAirport.  GreatService. professionalism
negative,flight 3797 treatment of passengers has been atrocious - over 2 hours delay only to now deplane and given no direction
neutral,I have corporate-paid travel in April. Is it possible to purchase an upgrade to first class now?
positive,you can thank supervisor Jeanine and her coworkers for the excellent customer service they provided
negative,only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...
negative,express my disappointment in your reservation department and the treatment of a Sailor dealing with a death in the family
neutral,that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to
negative,thought u merged but sucks worstever
positive,yes I did thank you! They did a great job turning the flight in jan !
negative,2 hours on hold and issue still not resolved. hope to make my flight in 12 hours. for every minute of talk  20 minutes of hold
positive,connection made. Thanks again this week. daddyshome
neutral,there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?
negative,2 bad planes  3 gate changes lots of exercise. travelfail let's hope this plane works. I'm tired.
negative,"Good info, but am already signed up for all options.  None of which sound like they applied to the 'missing' emails."
positive,"I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable."
neutral,if I have Dividend Miles credit card  I used it to book my flight is one bag free?
negative,have checked all day.  CHO needs added.  Please evaluate.
neutral,hi there I am flying MYR-CLT-ORD tomorrow is weather looking ok or problematic?
neutral,can u tell me if 5238 from clt to Jan has gotten out of the gate yet?  I will have a tight connection out of clt to mco.
neutral,Please hold US1765 for me. Need to get home tonight before weather. Almost there.
positive,Shavon at customer service desk in Charlotte was fantastic! So helpful and smiling evn after what sounds like long day.Reward her
